Date,TIME,Team A,Goals Scored TA,v,Goals Scored TB,Team B,Match,Tournament,Team A P1,Team A P2,Team A P3,Team A P4,SUB Team A,Team B P1,Team B P2,Team B P3,Team B P4,SUB Team B,
5/26/21,11:00,Emlor,15,v,13,Vikings,L,POW,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,Ana Escobedo 0,,
5/26/21,12:00,Schockemōhle,11,v,10,Scone Polo,L,POW,Jack Richardson 7,Clément Delfosse 5,Santiago Tanoira 5,Patrick Maleitzke 5,,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,,
5/29/21,15:00,Monterosso,12,v,13,Thai Polo,F,POW,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,,Alejandro Muzzio 8,Rufino Bensadon 7,Ned Hine 4,Louis Hine 2,,
6/1/21,12:00,Murus Sanctus – La Magdeleine,13,v,14,Talandracas,L,QC,Guillermo “Sapo” Caset 9,Facundo Sola 8,Matt Perry 5,Alexandre Garese 0,,Diego Cavanagh 8,Eduard Camingnac 0,Camilo Castagnola 8,Felipe Dabas 6,Max Voelker 0 (1st),
6/1/21,15:00,Emlor,6,v,15,Great Oaks LL,L,QC,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,
6/2/21,12:00,King Power,12,v,11,UAE 2,L,QC,Hilario Ulloa 10,Francisco Elizalde 8,,Aiyawatt Srivaddhanaprabha 1,,Hugo Taylor 3,Jaime Garcia Huidobro 6,Lucas Monteverde (5),Alfredo Cappella 8,,
6/2/21,15:00,Park Place,17,v,7,Schockemōhle,L,QC,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,Jack Richardson 7,Clément Delfosse 5,Santiago Tanoira 5,Patrick Maleitzke 5,,
6/3/21,12:00,Monterosso,11,v,10,Thai Polo,L,QC,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,,Gonzalo Pieres Jr. 9,Juan Gris Zavaleta 7,Ned Hine 4,Louis Hine 2,,
6/3/21,15:00,Scone Polo,12,v,6,White Crane,L,QC,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,,Nicolas Pieres 9,James Harper 7,Jasmine Calvert-Ansari 0,Andrew Blake-Thomas 4,Alexi Calvert-Ansari 0 (6th),
6/5/21,12:00,Great Oaks LL,12,v,11,Talandracas,L,QC,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,Diego Cavanagh 8,Max Voelker 0,Camilo Castagnola 8,Felipe Dabas 6,,
6/5/21,15:00,Emlor,8,v,14,UAE Polo,L,QC,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 9,Cata Lavinia 0 (1st),
6/6/21,12:00,Schockemōhle,5,v,14,Vikings,L,QC,Jack Richardson 7,Clément Delfosse 5,Santiago Tanoira 5,Patrick Maleitzke 5,,Siri Evjemo - Nyseen,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,John Watson 0 (3rd),
6/6/21,15:00,King Power,12,v,13,Park Place,L,QC,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,Charles Cooney 3 (1st),Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,
6/7/21,12:00,BP Polo,6,v,14,White Crane,L,QC,Juan Martin Nero 10,Alejandro Muzzio 8,Joevy Beh 3,James Beh 1,,Nicolas Pieres 9,James Harper 7,Jasmine Calvert-Ansari 0,Andrew Blake-Thomas 4,Guy Swartzenbach 2 (1st),
6/7/21,15:00,Monterosso,13,v,12,Scone Polo,L,QC,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,Noor Abu Kadra 0 (1st),
6/8/21,12:00,Great Oaks LL,9,v,13,UAE Polo,L,QC,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 9,Cata Lavinia 0 (1st),
6/8/21,15:00,Emlor,6,v,9,Murus Sanctus – La Magdeleine,L,QC,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,Guillermo “Sapo” Caset 9,Facundo Sola 8,Matt Perry 5,Alexandre Garese 0,,
6/9/21,12:00,Schockemōhle,9,v,13,UAE 2,L,QC,Jack Richardson 7,Clément Delfosse 5,Santiago Tanoira 5,Patrick Maleitzke 5,,Hugo Taylor 3,Jaime Garcia Huidobro 6,Lucas Monteverde (n) 5,Alfredo Cappella 8,,
6/9/21,15:00,Park Place,13,v,14,Vikings,L,QC,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,Siri Evjemo - Nyseen,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,John Watson 0 (1st),
6/10/21,12:00,BP Polo,8,v,11,Scone Polo,L,QC,Juan Martin Nero 10,Alejandro Muzzio 8,Joevy Beh 3,James Beh 1,,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,Noor Abu Kadra 0 (1st),
6/10/21,15:00,Thai Polo NP,7,v,10,White Crane,L,QC,Gonzalo Pieres Jr. 9,Juan Gris Zavaleta 7,Ned Hine 4,Louis Hine 2,,Nicolas Pieres 9,James Harper 7,Jasmine Calvert-Ansari 0,Andrew Blake-Thomas 4,,
6/11/21,12:00,Great Oaks LL,15,v,16,Murus Sanctus – La Magdeleine,L,QC,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,Guillermo “Sapo” Caset 9,Facundo Sola 8,Matt Perry 5,Alexandre Garese 0,,
6/11/21,15:00,Talandracas,7,v,12,UAE Polo,L,QC,Diego Cavanagh 8,Eduard Camingnac 0,Camilo Castagnola 8,Felipe Dabas 6,,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 9,Cata Lavinia 0 (1st),
6/12/21,10:35,Park Place,11,v,8,UAE 2,L,QC,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,Sebastian Petragallo 0 (1st),Hugo Taylor 3,Jaime Garcia Huidobro 6,Lucas Monteverde (n) 5,Alfredo Cappella 8,,
6/12/21,15:00,King Power,16,v,10,Vikings,L,QC,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,Charles Cooney 3 (1st),Siri Evjemo - Nyseen,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,John Watson 0 (4th),
6/13/21,12:00,Scone Polo,10,v,7,Thai Polo NP,L,QC,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,,Gonzalo Pieres Jr. 9,Juan Gris Zavaleta 7,Ned Hine 4,Louis Hine 2,,
6/13/21,15:00,BP Polo,8,v,12,Monterosso,L,QC,Juan Martin Nero 10,Alejandro Muzzio 8,Joevy Beh 3,James Beh 1,,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,,
6/14/21,12:00,Murus Sanctus – La Magdeleine,15,v,10,UAE Polo,L,QC,Guillermo “Sapo” Caset 9,Facundo Sola 8,Matt Perry 5,Alexandre Garese 0,,Pablo “Polito” Pieres 9,Tommy Beresford 7,HH Sheikha Maitha 0,Tomas Panelo 9,Cata Lavinia 0 (1st),
6/14/21,12:00,Emlor,8,v,11,Talandracas,L,QC,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,Diego Cavanagh 8,Eduard Camingnac 0,Camilo Castagnola 8,Felipe Dabas 6,,
6/15/21,11:00,King Power,12,v,3,Schockemōhle,L,QC,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,Charles Cooney 3 (1st),Jack Richardson 7,Clément Delfosse 5,Santiago Tanoira 5,Patrick Maleitzke 5,,
6/15/21,13:00,UAE 2,8,v,7,Vikings,L,QC,Hugo Taylor 3,Jaime Garcia Huidobro 6,Lucas Monteverde (n) 5,Alfredo Cappella 8,,Siri Evjemo - Nyseen,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,,
6/16/21,12:00,Monterosso,10,v,6,White Crane,L,QC,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,,Nicolas Pieres 9,James Harper 7,Jasmine Calvert-Ansari 0,Andrew Blake-Thomas 4,,
6/16/21,15:00,BP Polo,9,v,13,Thai Polo NP,L,QC,Juan Martin Nero 10,Alejandro Muzzio 8,Joevy Beh 3,James Beh 1,,Gonzalo Pieres Jr. 9,Juan Gris Zavaleta 7,Ned Hine 4,Louis Hine 2,,
